"Next Generation Accountability, 2022-23"

"FallOfYear","RptngDistrictName","ReportingDistrictCode","SchoolName","SchoolCode","SchoolOrgType","SchoolLowGrade","SchoolHighGrade","SchoolTitleIType","Category","TotalPoints","TotalPossiblePoints","OutcomeRatePct","FinalCategory","AchievementGapFlag","Ind1ELA_All_Rate","Ind1ELA_All_Points","Ind1ELA_All_PossiblePoints","Ind1ELA_HN_Rate","Ind1ELA_NHN_Rate","Ind1ELA_HN_Points","Ind1ELA_HN_PossiblePoints","Ind1Math_All_Rate","Ind1Math_All_Points","Ind1Math_All_PossiblePoints","Ind1Math_NHN_Rate","Ind1Math_HN_Rate","Ind1Math_HN_Points","Ind1Math_HN_PossiblePoints","Ind1Sci_All_Rate","Ind1Sci_All_Points","Ind1Sci_All_PossiblePoints","Ind1Sci_HN_Rate","Ind1Sci_NHN_Rate","Ind1Sci_HN_Points","Ind1Sci_HN_PossiblePoints","Ind1ELAGap","Ind1MathGap","Ind1SciGap","Ind2ELA_All_Rate","Ind2ELA_All_Points","Ind2ELA_All_Possiblepoints","Ind2Math_All_Rate","Ind2Math_All_Points","Ind2Math_All_Possiblepoints","Ind2ELA_HN_Rate","Ind2ELA_NHN_Rate","Ind2ELA_HN_Points","Ind2ELA_HN_Possiblepoints","Ind2Math_HN_Rate","Ind2Math_NHN_Rate","Ind2Math_HN_Points","Ind2Math_HN_Possiblepoints","Ind2LEP_LTCY_Rate","Ind2LEP_LTCY_Points","Ind2LEP_LTCY_PossiblePoints","Ind2LEP_ORAL_Rate","Ind2LEP_ORAL_Points","Ind2LEP_ORAL_PossiblePoints","Ind3PartRateFlag","Ind3ELA_All_Rate","Ind3ELA_HN_Rate","Ind3ELA_NHN_Rate","Ind3Math_All_Rate","Ind3Math_HN_Rate","Ind3Math_NHN_Rate","Ind3Sci_All_Rate","Ind3Sci_HN_Rate","Ind3Sci_NHN_Rate","Ind4Rate","Ind4Points","Ind4PossiblePoints","Ind4HNRate","Ind4HNPoints","Ind4HNPossiblePoints","Ind5Rate","Ind5Points","Ind5PossiblePoints","Ind6Rate","Ind6Points","Ind6PossiblePoints","Ind7Rate","Ind7points","Ind7PointsPossible","Ind8Rate","Ind8Points","Ind8PointsPossible","GradGapFlag","Ind9Rate","Ind9Points","Ind9PointsPossible","Ind10Rate","Ind10Points","Ind10PossiblePoints","Ind11FitnessRate","Ind11ParticipationRate","Ind11Points","Ind11PossiblePoints","Ind12Rate","Ind12Points","Ind12PossiblePoints","Grad6YrRateHN","Grad6YrRateNHN","Grad6YrHNNHNDiff","Hurdle_Mean_ELA","Hurdle_Mean_Math","Hurdle_Mean_Sci","Hurdle_Means_Grad","CategoryDropFlag","Support","SupportCategory","Distinction","DistinctionCategory","Perform","ELA_ALL_YN","Math_ALL_YN","ELA_HN_YN","Math_HN_YN","Improve","schoolyear"
2022.000000,"Barkhamsted School District","=""0050011""","District","=""0000000""","District","District","District",,"DistrictTot",582.816516,800.000000,72.852065,".",0.000000,72.713861,48.475907,50.000000,63.393911,75.000000,42.262607,50.000000,70.364000,46.909333,50.000000,75.000000,62.229971,41.486647,50.000000,73.670395,49.113597,50.000000,".",".",".",".",11.600000,12.770000,".",0.622521,62.252081,100.000000,0.694018,69.401770,100.000000,0.503999,0.737923,50.399922,100.000000,0.639023,0.747566,63.902262,100.000000,".",".",".",".",".",".",0.000000,0.990654,0.981132,1.000000,0.990654,0.981132,1.000000,1.000000,".",".",0.123077,35.384615,50.000000,0.139535,32.093023,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.617021,0.979167,41.134752,50.000000,".",".",".",".",".",".",16.556950,18.000178,17.794960,".",".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"Berlin School District","=""0070011""","District","=""0000000""","District","District","District",,"DistrictTot",1123.612665,1450.000000,77.490529,".",0.000000,70.521521,47.014347,50.000000,60.828432,75.000000,40.552288,50.000000,68.759462,45.839642,50.000000,74.401549,58.221856,38.814571,50.000000,68.655881,45.770588,50.000000,57.631688,73.607194,38.421126,50.000000,14.170000,16.170000,15.970000,0.601851,60.185118,100.000000,0.744972,74.497182,100.000000,0.514310,0.644308,51.430989,100.000000,0.655275,0.788254,65.527453,100.000000,0.746437,37.321866,50.000000,0.710510,35.525499,50.000000,0.000000,0.983309,0.970179,0.990857,0.977520,0.960239,0.987443,0.978583,0.950249,0.992611,0.153962,29.207547,50.000000,0.253491,9.301826,50.000000,0.884187,50.000000,50.000000,0.612472,40.831477,50.000000,0.963592,50.000000,50.000000,0.939252,99.920461,100.000000,0.000000,0.957143,100.000000,100.000000,0.781000,100.000000,100.000000,0.532012,0.794012,17.733740,50.000000,0.548603,45.716946,50.000000,0.957143,0.940000,0.000000,16.556950,18.000178,17.794960,8.744504,".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"Stamford Charter School for Excellence District","=""2960013""","District","=""0000000""","District","District","District",,"DistrictTot",723.664378,950.000000,76.175198,".",0.000000,81.158577,50.000000,50.000000,75.329238,75.000000,50.000000,50.000000,78.984551,50.000000,50.000000,75.000000,72.209049,48.139366,50.000000,69.346088,46.230725,50.000000,61.074527,75.000000,40.716352,50.000000,-0.320000,2.790000,13.920000,0.587972,58.797214,100.000000,0.721911,72.191127,100.000000,0.507963,0.728476,50.796313,100.000000,0.621269,0.898649,62.126914,100.000000,0.884800,44.240021,50.000000,0.726818,36.340882,50.000000,0.000000,0.996644,1.000000,0.991071,0.996644,1.000000,0.991071,0.989011,0.982143,1.000000,0.101512,39.697624,50.000000,0.120275,35.945017,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.576642,1.000000,38.442822,50.000000,".",".",".",".",".",".",16.556950,18.000178,17.794960,".",".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"Capital Preparatory Harbor School District","=""2970013""","District","=""0000000""","District","District","District",,"DistrictTot",992.400728,1450.000000,68.441429,".",0.000000,54.724649,36.483099,50.000000,53.495211,58.641975,35.663474,50.000000,47.315484,31.543656,50.000000,52.580689,45.663020,30.442013,50.000000,50.584811,33.723207,50.000000,49.611325,53.713872,33.074217,50.000000,5.140000,6.910000,4.100000,0.624837,62.483722,100.000000,0.592691,59.269127,100.000000,0.636450,0.590619,63.644982,100.000000,0.581067,0.626944,58.106708,100.000000,0.321905,16.095237,50.000000,0.645784,32.289216,50.000000,0.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.250700,9.859944,50.000000,0.270370,5.925926,50.000000,0.846154,50.000000,50.000000,0.879121,50.000000,50.000000,0.904000,48.085106,50.000000,0.965517,100.000000,100.000000,0.000000,1.000000,100.000000,100.000000,0.848000,100.000000,100.000000,0.071749,0.978070,4.783259,50.000000,0.371134,30.927835,50.000000,1.000000,".",".",16.556950,18.000178,17.794960,8.744504,".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"Unified School District #1","=""3360015""","District","=""0000000""","District","District","District",,"DistrictTot",78.683621,550.000000,14.306113,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.228346,14.330709,50.000000,0.228346,14.330709,50.000000,0.478261,31.884058,50.000000,0.043478,2.898551,50.000000,".",".",50.000000,0.009615,1.022913,100.000000,0.000000,0.078125,8.311170,100.000000,".",".",".",".",0.000000,0.000000,50.000000,0.070866,5.905512,50.000000,0.078125,".",".",".",".",".",8.744504,".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"Suffield School District","=""1390011""","District","=""0000000""","District","District","District",,"DistrictTot",1093.013770,1450.000000,75.380260,".",0.000000,69.482273,46.321515,50.000000,59.023047,73.834434,39.348698,50.000000,67.731102,45.154068,50.000000,72.671470,55.890155,37.260104,50.000000,71.855251,47.903501,50.000000,59.910036,75.000000,39.940024,50.000000,14.810000,16.780000,15.080000,0.546938,54.693790,100.000000,0.657320,65.731951,100.000000,0.529340,0.553401,52.933969,100.000000,0.576858,0.687031,57.685775,100.000000,0.613520,30.675975,50.000000,0.715779,35.788949,50.000000,0.000000,0.991643,0.972393,1.000000,0.989786,0.972393,0.997337,0.983471,0.952055,0.997041,0.134403,33.119358,50.000000,0.228279,14.344123,50.000000,0.980447,50.000000,50.000000,0.569832,37.988827,50.000000,0.933566,49.657789,50.000000,0.965517,100.000000,100.000000,0.000000,0.980769,100.000000,100.000000,0.759000,100.000000,100.000000,0.421053,0.794020,14.035088,50.000000,0.485163,40.430267,50.000000,0.980769,0.940000,0.000000,16.556950,18.000178,17.794960,8.744504,".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"New Hartford School District","=""0920011""","District","=""0000000""","District","District","District",,"DistrictTot",597.514971,850.000000,70.295879,".",0.000000,71.924258,47.949505,50.000000,64.053051,75.000000,42.702034,50.000000,66.067892,44.045261,50.000000,70.809899,58.217236,38.811491,50.000000,73.437030,48.958020,50.000000,60.612903,75.000000,40.408602,50.000000,10.940000,12.590000,14.380000,0.627199,62.719947,100.000000,0.578219,57.821902,100.000000,0.650026,0.611616,65.002594,100.000000,0.593123,0.568474,59.312257,100.000000,".",".",".",".",".",".",0.000000,0.995935,1.000000,0.993464,0.995918,1.000000,0.993464,1.000000,1.000000,1.000000,0.098765,40.246914,50.000000,0.165468,26.906475,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.339450,0.990909,22.629969,50.000000,".",".",".",".",".",".",16.556950,18.000178,17.794960,".",".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"Watertown School District","=""1530011""","District","=""0000000""","District","District","District",,"DistrictTot",1049.133322,1450.000000,72.354022,".",0.000000,64.433002,42.955335,50.000000,58.177789,69.875391,38.785192,50.000000,61.745130,41.163420,50.000000,67.382826,55.274592,36.849728,50.000000,64.113013,42.742008,50.000000,57.431245,69.566197,38.287497,50.000000,11.690000,12.100000,12.130000,0.512899,51.289898,100.000000,0.572473,57.247261,100.000000,0.468483,0.552920,46.848253,100.000000,0.559367,0.584279,55.936663,100.000000,0.688362,34.418120,50.000000,0.710960,35.547978,50.000000,0.000000,0.975107,0.964497,0.984932,0.974395,0.964497,0.983562,0.963576,0.954064,0.971963,0.162141,27.571822,50.000000,0.239295,12.141058,50.000000,0.903394,50.000000,50.000000,0.360313,24.020888,50.000000,0.919890,48.930293,50.000000,0.900000,95.744681,100.000000,0.000000,0.931034,99.046222,100.000000,0.769000,100.000000,100.000000,0.347411,0.942602,23.160763,50.000000,0.557355,46.446244,50.000000,0.931034,0.940000,0.008966,16.556950,18.000178,17.794960,8.744504,".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"Norfolk School District","=""0980011""","District","=""0000000""","District","District","District",,"DistrictTot",214.422135,450.000000,47.649363,".",0.000000,62.181232,41.454154,50.000000,".",".",".",".",60.611397,40.407598,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.392197,39.219720,100.000000,0.376001,37.600096,100.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.000000,1.000000,".",".",1.000000,".",".",".",".",".",0.172414,25.517241,50.000000,0.225806,14.838710,50.000000,".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",".",0.230769,1.000000,15.384615,50.000000,".",".",".",".",".",".",16.556950,18.000178,17.794960,".",".",,,,,".",".",".",".",".",".","2022-23"
2022.000000,"North Branford School District","=""0990011""","District","=""0000000""","District","District","District",,"DistrictTot",1050.813159,1350.000000,77.838012,".",0.000000,69.172702,46.115135,50.000000,60.591434,73.603338,40.394289,50.000000,67.188804,44.792536,50.000000,72.152588,57.574933,38.383288,50.000000,65.704352,43.802901,50.000000,57.717775,69.911566,38.478517,50.000000,13.010000,14.570000,12.190000,0.553831,55.383118,100.000000,0.652169,65.216884,100.000000,0.520874,0.570962,52.087398,100.000000,0.546864,0.706905,54.686394,100.000000,".",".",".",".",".",".",0.000000,0.982843,0.968641,0.990548,0.982843,0.968641,0.990548,0.994302,1.000000,0.991228,0.085504,42.899132,50.000000,0.146484,30.703125,50.000000,0.974026,50.000000,50.000000,0.432900,28.860029,50.000000,0.873362,46.455449,50.000000,0.946970,100.000000,100.000000,1.000000,0.827586,88.041086,100.000000,0.727000,96.933333,100.000000,0.607064,0.944099,40.470935,50.000000,0.565315,47.109610,50.000000,0.827586,0.940000,0.112414,16.556950,18.000178,17.794960,8.744504,".",,,,,".",".",".",".",".",".","2022-23"
