,District name,OutcomeRatePct
0,Barkhamsted School District,72.852065
1,Berlin School District,77.490529
2,Stamford Charter School for Excellence District,76.175198
3,Capital Preparatory Harbor School District,68.441429
4,Unified School District #1,14.306113
5,Suffield School District,75.38026
6,New Hartford School District,70.295879
7,Watertown School District,72.354022
8,Norfolk School District,47.649363
9,North Branford School District,77.838012
10,Norwich School District,50.742408
11,Griswold School District,71.294458
12,Groton School District,67.857593
13,Regional School District 19,74.785591
14,Goodwin University Educational Services (GUES),60.236447
15,Capitol Region Education Council,63.991626
16,Bethany School District,82.360334
17,Bloomfield School District,66.706637
18,Thomaston School District,76.060529
19,Thompson School District,64.420739
20,Connecticut Technical Education and Career System,61.002631
21,Voluntown School District,68.605309
22,Wallingford School District,68.131278
23,Newington School District,75.028119
24,Torrington School District,66.111246
25,Bethel School District,78.345453
26,Unified School District #2,33.6792
27,Tolland School District,80.32932
28,New London School District,57.13963
29,North Canaan School District,73.562339
30,North Haven School District,77.77193
31,Waterbury School District,59.172273
32,North Stonington School District,73.344798
33,Bolton School District,75.483374
34,Bozrah School District,79.767976
35,Branford School District,73.919613
36,Trumbull School District,85.172441
37,Westbrook School District,81.512506
38,West Hartford School District,74.209612
39,Norwalk School District,69.402917
40,Old Saybrook School District,77.400081
41,Guilford School District,82.410197
42,Hamden School District,66.150972
43,Hartland School District,86.424197
44,Hebron School District,77.606511
45,Norwich Free Academy District,61.740711
46,The Gilbert School District,61.080922
47,The Woodstock Academy District,72.634924
48,Union School District,62.945381
49,Vernon School District,72.443447
50,Waterford School District,73.232773
51,West Haven School District,66.817166
52,Wethersfield School District,75.590589
53,Willington School District,67.045459
54,Wilton School District,85.099288
55,Orange School District,75.845325
56,Oxford School District,74.528559
57,Plainfield School District,68.550802
58,Plymouth School District,68.153037
59,Pomfret School District,73.118631
60,Portland School District,74.379678
61,Hampton School District,58.994106
62,Hartford School District,57.156462
63,Kent School District,74.461247
64,Killingly School District,64.077963
65,Lebanon School District,72.59368
66,Bridgeport School District,56.669873
67,Brookfield School District,80.293692
68,Ledyard School District,70.152162
69,Brooklyn School District,62.751617
70,Canaan School District,68.940921
71,Coventry School District,78.894501
72,Weston School District,85.748934
73,Winchester School District,57.42327
74,Windsor School District,67.53257
75,Plainville School District,75.54829
76,Regional School District 01,67.842681
77,Regional School District 04,66.943666
78,Preston School District,73.767644
79,Putnam School District,64.814891
80,Lisbon School District,73.867475
81,Litchfield School District,82.50768
82,Canterbury School District,76.421478
83,Canton School District,74.652177
84,Cromwell School District,74.751843
85,Danbury School District,66.536469
86,Westport School District,80.712904
87,Windham School District,60.715624
88,Woodbridge School District,82.155952
89,Woodstock School District,73.407811
90,Darien School District,85.496015
91,Madison School District,86.961845
92,Chaplin School District,69.333962
93,Cheshire School District,82.807184
94,East Haddam School District,75.981104
95,Manchester School District,60.62605
96,East Hampton School District,75.697176
97,Windsor Locks School District,69.365742
98,Wolcott School District,73.704663
99,East Hartford School District,66.408666
100,Regional School District 05,81.146849
101,Regional School District 06,75.328489
102,Bristol School District,70.279494
