NCES LEA ID,State ID,District Name,City,State,Zip Code,Zip +4,"SRSA, Not RLIS eligible",LEA Operational Status,Zip Code Text,,,,,,,,,,,,,,,,,,,,,,,,
0900212,288,ACHIEVEMENT FIRST HARTFORD AC,HARTFORD,CT,06112,1028,#REF!,Open,06112,,,,,,,,,,,,,,,,,,,,,,,,
0900024,279,AMISTAD ACADEMY DISTRICT,NEW HAVEN,CT,06513,,#REF!,Open,06513,,,,,,,,,,,,,,,,,,,,,,,,
0900030,001,ANDOVER SCHOOL DISTRICT,ANDOVER,CT,06232,1526,#REF!,Open,06232,,,,,,,,,,,,,,,,,,,,,,,,
0900060,002,ANSONIA SCHOOL DISTRICT,ANSONIA,CT,06401,1798,#REF!,Open,06401,,,,,,,,,,,,,,,,,,,,,,,,
0900070,244,AREA COOPERATIVE EDUCATIONAL,NORTH HAVEN,CT,06473,3108,#REF!,Open,06473,,,,,,,,,,,,,,,,,,,,,,,,
0900090,003,ASHFORD SCHOOL DISTRICT,ASHFORD,CT,06278,1113,#REF!,Open,06278,,,,,,,,,,,,,,,,,,,,,,,,
0900120,004,AVON SCHOOL DISTRICT,AVON,CT,06001,3730,#REF!,Open,06001,,,,,,,,,,,,,,,,,,,,,,,,
0900150,005,BARKHAMSTED SCHOOL DISTRICT,BARKHAMSTED,CT,06063,,#REF!,Open,06063,,,,,,,,,,,,,,,,,,,,,,,,
0900210,007,BERLIN SCHOOL DISTRICT,BERLIN,CT,06037,2648,#REF!,Open,06037,,,,,,,,,,,,,,,,,,,,,,,,
0900240,008,BETHANY SCHOOL DISTRICT,BETHANY,CT,06524,3322,#REF!,Open,06524,,,,,,,,,,,,,,,,,,,,,,,,
0900270,009,BETHEL SCHOOL DISTRICT,BETHEL,CT,06801,0253,#REF!,Open,06801,,,,,,,,,,,,,,,,,,,,,,,,
0900330,011,BLOOMFIELD SCHOOL DISTRICT,BLOOMFIELD,CT,06002,3099,#REF!,Open,06002,,,,,,,,,,,,,,,,,,,,,,,,
0900360,012,BOLTON SCHOOL DISTRICT,BOLTON,CT,06043,7498,#REF!,Open,06043,,,,,,,,,,,,,,,,,,,,,,,,
0900390,013,BOZRAH SCHOOL DISTRICT,BOZRAH,CT,06334,1304,#REF!,Open,06334,,,,,,,,,,,,,,,,,,,,,,,,
0900420,014,BRANFORD SCHOOL DISTRICT,BRANFORD,CT,06405,3717,#REF!,Open,06405,,,,,,,,,,,,,,,,,,,,,,,,
0900208,285,BRIDGEPORT ACHIEVEMENT FIRST,BRIDGEPORT,CT,06608,,#REF!,Open,06608,,,,,,,,,,,,,,,,,,,,,,,,
0900450,015,BRIDGEPORT SCHOOL DISTRICT,BRIDGEPORT,CT,06604,4023,#REF!,Open,06604,,,,,,,,,,,,,,,,,,,,,,,,
0900510,017,BRISTOL SCHOOL DISTRICT,BRISTOL,CT,06011,0450,#REF!,Open,06011,,,,,,,,,,,,,,,,,,,,,,,,
0900540,018,BROOKFIELD SCHOOL DISTRICT,BROOKFIELD,CT,06804,3331,#REF!,Open,06804,,,,,,,,,,,,,,,,,,,,,,,,
0900570,019,BROOKLYN SCHOOL DISTRICT,BROOKLYN,CT,06234,1805,#REF!,Open,06234,,,,,,,,,,,,,,,,,,,,,,,,
0900630,021,CANAAN SCHOOL DISTRICT,FALLS VILLAGE,CT,06031,0237,#REF!,Open,06031,,,,,,,,,,,,,,,,,,,,,,,,
0900660,022,CANTERBURY SCHOOL DISTRICT,CANTERBURY,CT,06331,1538,#REF!,Open,06331,,,,,,,,,,,,,,,,,,,,,,,,
0900690,023,CANTON SCHOOL DISTRICT,CANTON,CT,06019,1008,#REF!,Open,06019,,,,,,,,,,,,,,,,,,,,,,,,
0900700,241,CAPITOL REGION EDUCATION COUN,HARTFORD,CT,06106,3567,#REF!,Open,06106,,,,,,,,,,,,,,,,,,,,,,,,
0900720,024,CHAPLIN SCHOOL DISTRICT,CHAPLIN,CT,06235,0295,#REF!,Open,06235,,,,,,,,,,,,,,,,,,,,,,,,
0900213,287,CHARTER SCHOOL FOR YOUNG CHIL,HARTFORD,CT,06106,,#REF!,Open,06106,,,,,,,,,,,,,,,,,,,,,,,,
0900750,025,CHESHIRE SCHOOL DISTRICT,CHESHIRE,CT,06410,2495,#REF!,Open,06410,,,,,,,,,,,,,,,,,,,,,,,,
0900780,026,CHESTER SCHOOL DISTRICT,DEEP RIVER,CT,06417,0187,#REF!,Open,06417,,,,,,,,,,,,,,,,,,,,,,,,
0900810,027,CLINTON SCHOOL DISTRICT,CLINTON,CT,06413,1493,#REF!,Open,06413,,,,,,,,,,,,,,,,,,,,,,,,
0900840,028,COLCHESTER SCHOOL DISTRICT,COLCHESTER,CT,06415,1260,#REF!,Open,06415,,,,,,,,,,,,,,,,,,,,,,,,
0900870,029,COLEBROOK SCHOOL DISTRICT,COLEBROOK,CT,06021,0009,#REF!,Open,06021,,,,,,,,,,,,,,,,,,,,,,,,
0900900,030,COLUMBIA SCHOOL DISTRICT,COLUMBIA,CT,06237,0166,#REF!,Open,06237,,,,,,,,,,,,,,,,,,,,,,,,
0900014,268,COMMON GROUND HIGH SCHOOL DIS,NEW HAVEN,CT,06515,0069,#REF!,Open,06515,,,,,,,,,,,,,,,,,,,,,,,,
0900002,900,CONNECTICUT TECHNICAL HIGH SC,MIDDLETOWN,CT,06457,1543,#REF!,Open,06457,,,,,,,,,,,,,,,,,,,,,,,,
0900910,243,COOPERATIVE EDUCATIONAL SERVI,TRUMBULL,CT,06611,4723,#REF!,Open,06611,,,,,,,,,,,,,,,,,,,,,,,,
0900930,031,CORNWALL SCHOOL DISTRICT,FALLS VILLAGE,CT,06031,1600,#REF!,Open,06031,,,,,,,,,,,,,,,,,,,,,,,,
0900960,032,COVENTRY SCHOOL DISTRICT,COVENTRY,CT,06238,1654,#REF!,Open,06238,,,,,,,,,,,,,,,,,,,,,,,,
0900990,033,CROMWELL SCHOOL DISTRICT,CROMWELL,CT,06416,1398,#REF!,Open,06416,,,,,,,,,,,,,,,,,,,,,,,,
0901020,034,DANBURY SCHOOL DISTRICT,DANBURY,CT,06810,6211,#REF!,Open,06810,,,,,,,,,,,,,,,,,,,,,,,,
0901050,035,DARIEN SCHOOL DISTRICT,DARIEN,CT,06820,1167,#REF!,Open,06820,,,,,,,,,,,,,,,,,,,,,,,,
0901080,036,DEEP RIVER SCHOOL DISTRICT,DEEP RIVER,CT,06417,0187,#REF!,Open,06417,,,,,,,,,,,,,,,,,,,,,,,,
0900027,337,DEPARTMENT OF MENTAL HEALTH A,HARTFORD,CT,06134,,#REF!,Open,06134,,,,,,,,,,,,,,,,,,,,,,,,
0900026,332,DEPARTMENT OF SOCIAL SERVICES,HARTFORD,CT,06106,5033,#REF!,Open,06106,,,,,,,,,,,,,,,,,,,,,,,,
0901110,037,DERBY SCHOOL DISTRICT,DERBY,CT,06418,0373,#REF!,Open,06418,,,,,,,,,,,,,,,,,,,,,,,,
0901170,040,EAST GRANBY SCHOOL DISTRICT,EAST GRANBY,CT,06026,0158,#REF!,Open,06026,,,,,,,,,,,,,,,,,,,,,,,,
0901200,041,EAST HADDAM SCHOOL DISTRICT,MOODUS,CT,06469,0401,#REF!,Open,06469,,,,,,,,,,,,,,,,,,,,,,,,
0901230,042,EAST HAMPTON SCHOOL DISTRICT,EAST HAMPTON,CT,06424,1119,#REF!,Open,06424,,,,,,,,,,,,,,,,,,,,,,,,
0901260,043,EAST HARTFORD SCHOOL DISTRICT,EAST HARTFORD,CT,06108,2681,#REF!,Open,06108,,,,,,,,,,,,,,,,,,,,,,,,
0901290,044,EAST HAVEN SCHOOL DISTRICT,EAST HAVEN,CT,06513,1597,#REF!,Open,06513,,,,,,,,,,,,,,,,,,,,,,,,
0901320,045,EAST LYME SCHOOL DISTRICT,EST LYME,CT,06333,0176,#REF!,Open,06333,,,,,,,,,,,,,,,,,,,,,,,,
0901350,047,EAST WINDSOR SCHOOL DISTRICT,EAST WINDSOR,CT,06016,9552,#REF!,Open,06016,,,,,,,,,,,,,,,,,,,,,,,,
0901360,253,EASTERN CONNECTICUT REGIONAL,HAMPTON,CT,06247,1612,#REF!,Open,06247,,,,,,,,,,,,,,,,,,,,,,,,
0901380,039,EASTFORD SCHOOL DISTRICT,EASTFORD,CT,06242,0158,#REF!,Open,06242,,,,,,,,,,,,,,,,,,,,,,,,
0901410,046,EASTON SCHOOL DISTRICT,MONROE,CT,06468,2853,#REF!,Open,06468,,,,,,,,,,,,,,,,,,,,,,,,
0903512,242,EDUCATION CONNECTION,DANBURY,CT,06810,,#REF!,Open,06810,,,,,,,,,,,,,,,,,,,,,,,,
0901440,048,ELLINGTON SCHOOL DISTRICT,ELLINGTON,CT,06029,3341,#REF!,Open,06029,,,,,,,,,,,,,,,,,,,,,,,,
0900214,289,ELM CITY COLLEGE PREPARATORY,NEW HAVEN,CT,06513,,#REF!,Open,06513,,,,,,,,,,,,,,,,,,,,,,,,
0901470,049,ENFIELD SCHOOL DISTRICT,ENFIELD,CT,06082,3199,#REF!,Open,06082,,,,,,,,,,,,,,,,,,,,,,,,
0901500,050,ESSEX SCHOOL DISTRICT,DEEP RIVER,CT,06417,0187,#REF!,Open,06417,,,,,,,,,,,,,,,,,,,,,,,,
0900018,272,EXPLORATIONS DISTRICT,WINSTED,CT,06098,1641,#REF!,Open,06098,,,,,,,,,,,,,,,,,,,,,,,,
0901530,051,FAIRFIELD SCHOOL DISTRICT,FAIRFIELD,CT,06430,0222,#REF!,Open,06430,,,,,,,,,,,,,,,,,,,,,,,,
0901560,052,FARMINGTON SCHOOL DISTRICT,FARMINGTON,CT,06032,1041,#REF!,Open,06032,,,,,,,,,,,,,,,,,,,,,,,,
0901590,053,FRANKLIN SCHOOL DISTRICT,NORTH FRANKLIN,CT,06254,1219,#REF!,Open,06254,,,,,,,,,,,,,,,,,,,,,,,,
